Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
34028,84ec,"BC OEM Command","D","Office of Emergency Management (OEM) Command","Emergency Ops","Bowie County"
34029,84ed,"Texas A&M Texark","D","Texas A&M Texarkana","Schools","Bowie County - Texarkana Police"
34030,84ee,"Texarkana ISD","D","Texarkana Independent School District","Schools","Bowie County - Texarkana Police"
34031,84ef,"Texarkana ESU","D","Texarkana ESU","Public Works","Bowie County - Texarkana Services"
34032,84f0,"Tex Parks","D","Texarkana Parks","Public Works","Bowie County - Texarkana Services"
34033,84f1,"Tex Public Works","D","Texarkana Public Works","Public Works","Bowie County - Texarkana Services"
34034,84f2,"Texark PD CID","D","Texarkana Police CID","Law Tac","Bowie County - Texarkana Police"
34035,84f3,"Texark PD City 1","D","Texarkana Police Citywide 1","Law Tac","Bowie County - Texarkana Police"
34036,84f4,"Texark PD City 2","D","Texarkana Police Citywide 2","Law Tac","Bowie County - Texarkana Police"
34037,84f5,"TTPD Mobile","D","Texarkana Police Mobile","Law Talk","Bowie County - Texarkana Police"
34038,84f6,"TTPD Spec Ops","DE","Texarkana Special Operations","Law Tac","Bowie County - Texarkana Police"
34039,84f7,"TTPD Tactical 1","D","Texarkana Police Tactical 1","Law Tac","Bowie County - Texarkana Police"
34040,84f8,"TTPD Tactical 2","DE","Texarkana Police Tactical 2","Law Tac","Bowie County - Texarkana Police"
34041,84f9,"Texark Water 4","D","Texarkana Water Utilities 4","Utilities","Bowie County - Texarkana Services"
34042,84fa,"Texark Water  5","D","Texarkana Water Utilities 5","Utilities","Bowie County - Texarkana Services"
34043,84fb,"TAMUT Police","D","Texas A&M Texarkana Police","Law Dispatch","Bowie County - Texarkana Police"
34044,84fc,"Wake Village PW","D","Wake Village","Public Works","Bowie County"
34045,84fd,"Texarkana FD Dis","D","Texarkana Fire Dispatch","Fire Dispatch","Bowie County - Texarkana Fire"
34046,84fe,"Texarkana EMS","D","Texarkana EMS","EMS-Tac","Bowie County - Texarkana Fire"
34047,84ff,"Tex FD Incident2","D","Texarkana Fire/EMS Incident 2","Fire-Tac","Bowie County - Texarkana Fire"
34048,8500,"Tex FD Incident3","D","Texarkana Fire/EMS Incident 3","Fire-Tac","Bowie County - Texarkana Fire"
34049,8501,"Tex FD Incident4","D","Texarkana Fire/EMS Incident 4","Fire-Tac","Bowie County - Texarkana Fire"
34050,8502,"Tex FD Incident5","D","Texarkana Fire/EMS Incident 5","Fire-Tac","Bowie County - Texarkana Fire"
34051,8503,"TTFD Mobile","D","Texarkana Fire Mobile","Fire-Talk","Bowie County - Texarkana Fire"
34052,8504,"TTFD Fire Chief","D","Texarkana Fire Battalion Chief","Fire-Talk","Bowie County - Texarkana Fire"
34053,8505,"TTFD Fire 1","D","Texarkana Fire 1","Fire-Tac","Bowie County - Texarkana Fire"
34054,8506,"TTFD Fire 3","D","Texarkana Fire 3","Fire-Tac","Bowie County - Texarkana Fire"
34055,8507,"TTFD Fire 4","D","Texarkana Fire 4","Fire-Tac","Bowie County - Texarkana Fire"
34056,8508,"TTFD Fire 5","D","Texarkana Fire 5","Fire-Tac","Bowie County - Texarkana Fire"
34057,8509,"TTFD Fire 7","D","Texarkana Fire 7","Fire-Tac","Bowie County - Texarkana Fire"
34058,850a,"TAFD Fire 1","D","Arkansas Fire 1","Fire-Tac","Bowie County - Texarkana Fire"
34059,850b,"TAFD Fire 2","D","Arkansas Fire 2","Fire-Tac","Bowie County - Texarkana Fire"
34060,850c,"TAFD Fire 3","D","Arkansas Fire 3","Fire-Tac","Bowie County - Texarkana Fire"
34061,850d,"TAFD Fire 4","D","Arkansas Fire 4","Fire-Tac","Bowie County - Texarkana Fire"
34062,850e,"TAFD Fire 5","D","Arkansas Fire 5","Fire-Tac","Bowie County - Texarkana Fire"
34100,8534,"Animal Control","D","Animal Control","Public Works","Bowie County"
40004,9c44,"DPS Cap Bldg","D","Capitol Building Security","Security","Texas DPS Region 7 Capitol"
42003,a413,"Andrews SO","D","Sheriff","Law Dispatch","Andrews County"
42291,a533,"Martin SO Disp","D","Sheriff Dispatch","Law Dispatch","Martin County"
42321,a551,"Midland SO DispA","DE","Sheriff Dispatch A","Law Dispatch","Midland County"
42335,a55f,"Midland LE","D","All Law Enforcement","Law Tac","Midland County"
42338,a562,"Midland Co VFD","D","Volunteer Fire Dispatch","Fire Dispatch","Midland County"
42339,a563,"Greenwood VFD","D","Greenwood VFD","Fire-Tac","Midland County"
42340,a564,"Northeast VFD","D","Northeast VFD","Fire-Tac","Midland County"
42411,a5ab,"Reeves SO","D","Sheriff","Law Dispatch","Reeves County"
42441,a5c9,"Terrell SO Disp","D","Sheriff Dispatch A","Law Dispatch","Terrell County"
42442,a5ca,"Terrell SO B","D","Sheriff Dispatch B","Law Tac","Terrell County"
42443,a5cb,"Terrell Co VFD 1","D","Fire Dispatch","Fire Dispatch","Terrell County"
42444,a5cc,"Terrell Co VFD 2","D","Fire Ch 2","Fire-Tac","Terrell County"
42445,a5cd,"Terrell Co EMS 1","D","EMS Dispatch","EMS Dispatch","Terrell County"
42446,a5ce,"Terrell Co EMS 2","D","EMS Ch 2","EMS-Tac","Terrell County"
42447,a5cf,"Terrell Co PW 1","D","Public Works 1","Public Works","Terrell County"
42448,a5d0,"Terrell Co PW 1","D","Public Works 2","Public Works","Terrell County"
42449,a5d1,"Terrell Co Admin","D","Administration","Public Works","Terrell County"
42450,a5d2,"Terrell VFD Talk","D","Fire Talk","Fire-Tac","Terrell County"
42471,a5e7,"Upton SO","D","Sheriff","Law Dispatch","Upton County"
42475,a5eb,"Upton EMS","D","EMS Dispatch","EMS Dispatch","Upton County"
42656,a6a0,"PB LSFTF 1","DE","Lone Star Fugitive Task Force 1","Law Tac","Permian Basin Regional Interoperability"
42690,a6c2,"PB NWS MIDLAND","D","National Weather Service Midland","Emergency Ops","Permian Basin Regional Interoperability"
42691,a6c3,"B8 PB LE 01","D","Law Interop 1","Interop","Permian Basin Regional Interoperability"
42692,a6c4,"B8 PB LE 02","D","Law Interop 2","Interop","Permian Basin Regional Interoperability"
42693,a6c5,"B8 PB LE 03","D","Law Interop 3","Interop","Permian Basin Regional Interoperability"
42694,a6c6,"B8 PB LE 04","D","Law Interop 4","Interop","Permian Basin Regional Interoperability"
42695,a6c7,"B8 PB LE 05","D","Law Interop 5","Interop","Permian Basin Regional Interoperability"
42696,a6c8,"B8 PB LE 06","D","Law Interop 6","Interop","Permian Basin Regional Interoperability"
42697,a6c9,"B8 PB LE 07","D","Law Interop 7","Interop","Permian Basin Regional Interoperability"
42698,a6ca,"B8 PB LE 08","D","Law Interop 8","Interop","Permian Basin Regional Interoperability"
42699,a6cb,"B8 PB LE 09","D","Law Interop 9","Interop","Permian Basin Regional Interoperability"
42700,a6cc,"B8 PB LE 10","D","Law Interop 10","Interop","Permian Basin Regional Interoperability"
42701,a6cd,"B8 PB LE 11","D","Law Interop 11","Interop","Permian Basin Regional Interoperability"
42702,a6ce,"B8 PB LE 12","D","Law Interop 12","Interop","Permian Basin Regional Interoperability"
42703,a6cf,"B8 PB LE 13","D","Law Interop 13","Interop","Permian Basin Regional Interoperability"
42704,a6d0,"B8 PB LE 14","D","Law Interop 14","Interop","Permian Basin Regional Interoperability"
42705,a6d1,"B8 PB LE 15","D","Law Interop 15","Interop","Permian Basin Regional Interoperability"
42706,a6d2,"C8 PB PW 01","D","Public Works Interop 1","Public Works","Permian Basin Regional Interoperability"
42707,a6d3,"C8 PB PW 02","D","Public Works Interop 2","Public Works","Permian Basin Regional Interoperability"
42708,a6d4,"C8 PB PW 03","D","Public Works Interop 3","Public Works","Permian Basin Regional Interoperability"
42709,a6d5,"C8 PB PW 04","D","Public Works Interop 4","Public Works","Permian Basin Regional Interoperability"
42710,a6d6,"C8 PB PW 05","D","Public Works Interop 5","Public Works","Permian Basin Regional Interoperability"
42711,a6d7,"C8 PB PW 06","D","Public Works Interop 6","Public Works","Permian Basin Regional Interoperability"
42712,a6d8,"C8 PB PW 07","D","Public Works Interop 7","Public Works","Permian Basin Regional Interoperability"
42713,a6d9,"C8 PB PW 08","D","Public Works Interop 8","Public Works","Permian Basin Regional Interoperability"
42714,a6da,"D8 PB OP 01","D","Operations 1","Interop","Permian Basin Regional Interoperability"
42715,a6db,"D8 PB OP 02","D","Operations 2","Interop","Permian Basin Regional Interoperability"
42716,a6dc,"D8 PB OP 03","D","Operations 3","Interop","Permian Basin Regional Interoperability"
42717,a6dd,"D8 PB OP 04","D","Operations 4","Interop","Permian Basin Regional Interoperability"
42718,a6de,"D8 PB OP 05","D","Operations 5","Interop","Permian Basin Regional Interoperability"
42719,a6df,"D8 PB OP 06","D","Operations 6","Interop","Permian Basin Regional Interoperability"
42720,a6e0,"D8 PB OP 07","D","Operations 7","Interop","Permian Basin Regional Interoperability"
42721,a6e1,"D8 PB OP 08","D","Operations 8","Interop","Permian Basin Regional Interoperability"
42722,a6e2,"D8 PB OP 09","D","Operations 9","Interop","Permian Basin Regional Interoperability"
42723,a6e3,"D8 PB OP 10","D","Operations 10","Interop","Permian Basin Regional Interoperability"
42724,a6e4,"D8 PB OP 11","D","Operations 11","Interop","Permian Basin Regional Interoperability"
42725,a6e5,"D8 PB OP 12","D","Operations 12","Interop","Permian Basin Regional Interoperability"
42726,a6e6,"D8 PB OP 13","D","Operations 13","Interop","Permian Basin Regional Interoperability"
42727,a6e7,"D8 PB OP 14","D","Operations 14","Interop","Permian Basin Regional Interoperability"
42728,a6e8,"D8 PB OP 15","D","Operations 15","Interop","Permian Basin Regional Interoperability"
42741,a6f5,"Big Bend Hosp","D","Big Bend Regional Hospital","Hospital","Brewster County"
42765,a70d,"Hospitals WTX","D","Hospital Net West Texas","Hospital","Permian Basin Regional Interoperability"
45101,b02d,"HISD PD DISP","D","Police Dispatch","Law Dispatch","Bexar County - Harlandale ISD"
45102,b02e,"HISD PD CALL","D","Schools to HISD PD Direct","Law Tac","Bexar County - Harlandale ISD"
45103,b02f,"HISD PD SUPV","D","Police Supervisors","Law Tac","Bexar County - Harlandale ISD"
45104,b030,"HISD PD TAC-1","D","Police Tactical 1 (Stadium Events)","Law Tac","Bexar County - Harlandale ISD"
45105,b031,"HISD PD TAC-2","D","Police Tactical 2","Law Tac","Bexar County - Harlandale ISD"
45106,b032,"HISD PD TAC-3","D","Police Tactical 3","Law Tac","Bexar County - Harlandale ISD"
45149,b05d,"HISD Trans Call","D","Transportation Calling","Schools","Bexar County - Harlandale ISD"
45150,b05e,"HISD Trans Disp","D","Transportation Dispatch (School Buses)","Schools","Bexar County - Harlandale ISD"
45151,b05f,"HISD Athletics","D","Athletics Dept","Schools","Bexar County - Harlandale ISD"
45152,b060,"HISD Stadium Ops","D","Memorial Stadium","Schools","Bexar County - Harlandale ISD"
45153,b061,"HISD IT","D","Information Technology","Schools","Bexar County - Harlandale ISD"
45154,b062,"HISD Nutrition","D","Child Nutrition","Schools","Bexar County - Harlandale ISD"
45155,b063,"HISD Maint","D","District Maintenance","Schools","Bexar County - Harlandale ISD"
45156,b064,"HISD Events 1","D","Events","Schools","Bexar County - Harlandale ISD"
45157,b065,"HISD Events 2","D","Events 2","Schools","Bexar County - Harlandale ISD"
45158,b066,"HISD Events 3","D","Events 3","Schools","Bexar County - Harlandale ISD"
45200,b090,"HISD Adams","D","Adams Elementary","Schools","Bexar County - Harlandale ISD"
45201,b091,"HISD Bellaire","D","Bellaire Elementary","Schools","Bexar County - Harlandale ISD"
45202,b092,"HISD Carrol Bell","D","Carrol Bell Center","Schools","Bexar County - Harlandale ISD"
45203,b093,"HISD Collier","D","Collier Elementary","Schools","Bexar County - Harlandale ISD"
45204,b094,"HISD Colum Hts","D","Columbia Heights Elementary","Schools","Bexar County - Harlandale ISD"
45205,b095,"HISD Gilbert","D","Gilbert Elementary","Schools","Bexar County - Harlandale ISD"
45206,b096,"HISD Gillette","D","Gillette Elementary","Schools","Bexar County - Harlandale ISD"
45207,b097,"HISD Morrill","D","Morrill Center","Schools","Bexar County - Harlandale ISD"
45208,b098,"HISD Rayburn","D","Rayburn Center","Schools","Bexar County - Harlandale ISD"
45209,b099,"HISD Schulze","D","Schulze Elementary","Schools","Bexar County - Harlandale ISD"
45210,b09a,"HISD Stonewall","D","Stonewall Elementary/Fenley Center","Schools","Bexar County - Harlandale ISD"
45211,b09b,"HISD Vestal","D","Vestal Elementary","Schools","Bexar County - Harlandale ISD"
45212,b09c,"HISD Wright","D","Wright Elementary","Schools","Bexar County - Harlandale ISD"
45213,b09d,"HISD Harlandl MS","D","Harlandale Middle School","Schools","Bexar County - Harlandale ISD"
45214,b09e,"HISD Kingsbor MS","D","Kingsborough Middle School","Schools","Bexar County - Harlandale ISD"
45215,b09f,"HISD Leal MS","D","Leal Middle School","Schools","Bexar County - Harlandale ISD"
45216,b0a0,"HISD TWMS","D","Terrell Wells Middle School","Schools","Bexar County - Harlandale ISD"
45217,b0a1,"HISD HHS","D","Harlandale High School","Schools","Bexar County - Harlandale ISD"
45218,b0a2,"HISD McCollum HS","D","McCollum High School","Schools","Bexar County - Harlandale ISD"
45219,b0a3,"HISD FrankTejeda","D","Frank Tejeda Academy","Schools","Bexar County - Harlandale ISD"
45220,b0a4,"HISD STEM ECHS","D","STEM Early College HS","Schools","Bexar County - Harlandale ISD"
45221,b0a5,"HISD Harland AC","D","Harlandale Alternative Center","Schools","Bexar County - Harlandale ISD"
45222,b0a6,"HISD Maker Space","D","Maker Space Center","Schools","Bexar County - Harlandale ISD"
45223,b0a7,"HISD 45223","D","School Ops","Schools","Bexar County - Harlandale ISD"
46000,b3b0,"Comal SO D1 Disp","DE","Sheriff Patrol 1 Dispatch South","Law Dispatch","Comal County"
46001,b3b1,"Comal SO D1 Tac","D","Sheriff Patrol Tac 1","Law Tac","Comal County"
46002,b3b2,"Comal SO D2 Disp","DE","Sheriff Patrol 2 Dispatch North","Law Dispatch","Comal County"
46003,b3b3,"Comal SO D2 Tac","D","Sheriff Patrol Tac 2","Law Tac","Comal County"
46004,b3b4,"Comal SO D3 Disp","D","Sheriff Patrol Dispatch 3 (South and East)","Law Dispatch","Comal County"
46005,b3b5,"Comal SO D3 Tac","D","Sheriff Patrol Tac 3","Law Tac","Comal County"
46006,b3b6,"Comal SO D4 Disp","D","Sheriff Patrol Dispatch 4 (North and West)","Law Dispatch","Comal County"
46007,b3b7,"Comal SO D4 Tac","D","Sheriff Patrol Tac 4","Law Tac","Comal County"
46008,b3b8,"Comal SO D5 Tac","DE","Sheriff Patrol Tac 5","Law Tac","Comal County"
46015,b3bf,"Comal SO CID1","DE","Sheriff CID 1","Law Tac","Comal County"
46016,b3c0,"Comal SO CID2","DE","Sheriff CID 2","Law Tac","Comal County"
46017,b3c1,"Comal SO CID3","DE","Sheriff CID 3","Law Tac","Comal County"
46022,b3c6,"Comal SO Traffic","D","Sheriff Traffic","Law Tac","Comal County"
46024,b3c8,"Comal SO Bailiff","D","Sheriff Courthouse Bailiffs","Law Tac","Comal County"
46030,b3ce,"Comal SO WarrTac","D","Sheriff Warrants Task Force Tac","Law Tac","Comal County"
46045,b3dd,"Comal Road Ops 1","D","Road Dept. - Ops 1","Public Works","Comal County - Services"
46061,b3ed,"Comal SO Train","D","Sheriff Training Tactical","Law Tac","Comal County"
46063,b3ef,"Comal Constabl 2","D","Constables Ch. 2 Tac","Law Tac","Comal County"
46068,b3f4,"Comal Constabl 4","D","Constables Ch. 4","Law Tac","Comal County"
46080,b400,"NBU Electric 3","D","New Braunfels Utilities - Electric Ch. 3","Utilities","Comal County - Services"
46081,b401,"NBU Electric Dis","D","New Braunfels Utilities - Electric Dispatch","Utilities","Comal County - Services"
46082,b402,"NBU Water Disp","D","New Braunfels Utilities - Water Dispatch","Public Works","Comal County - Services"
46083,b403,"NBU Electric Ops","D","New Braunfels Utilities - Electric Ops","Utilities","Comal County - Services"
46084,b404,"NBU Electric Ops","D","New Braunfels Utilities - Electric Ops","Utilities","Comal County - Services"
46086,b406,"NBU Electric Ops","D","New Braunfels Utilities - Electric Ops","Utilities","Comal County - Services"
46087,b407,"NBU Electric Ops","D","New Braunfels Utilities - Electric Ops","Utilities","Comal County - Services"
46201,b479,"Comal FEMS Ops 1","D","Fire/EMS Ops 1","Fire-Tac","Comal County - Fire/EMS"
46202,b47a,"Comal FEMS Ops 2","D","Fire/EMS Ops 2","Fire-Tac","Comal County - Fire/EMS"
46203,b47b,"Comal FEMS Ops 3","D","Fire/EMS Ops 3","Fire-Tac","Comal County - Fire/EMS"
46204,b47c,"Comal FEMS Ops 4","D","Fire/EMS Ops 4","Fire-Tac","Comal County - Fire/EMS"
46205,b47d,"Comal FEMS Ops 5","D","Fire/EMS Ops 5","Fire-Tac","Comal County - Fire/EMS"
46206,b47e,"Comal FEMS Ops 6","D","Fire/EMS Ops 6","Fire-Tac","Comal County - Fire/EMS"
46207,b47f,"Comal FEMS Ops 7","D","Fire/EMS Ops 7","Fire-Tac","Comal County - Fire/EMS"
46208,b480,"Comal FEMS Ops 8","D","Fire/EMS Ops 8","Fire-Tac","Comal County - Fire/EMS"
46209,b481,"Comal FEMS Ops 9","D","Fire/EMS Ops 9","Fire-Tac","Comal County - Fire/EMS"
46210,b482,"Comal FEMS Ops10","D","Fire/EMS Ops 10","Fire-Tac","Comal County - Fire/EMS"
46211,b483,"Comal FEMS Locut","D","Fire/EMS Dispatch (locution)","Fire Dispatch","Comal County - Fire/EMS"
46212,b484,"Comal FEMS Ch 1","D","Fire/EMS Response 1 (patched with 154.295)","Fire Dispatch","Comal County - Fire/EMS"
46213,b485,"Comal FEMS Ch 2","D","Fire/EMS Response 2","Fire-Tac","Comal County - Fire/EMS"
46220,b48c,"CanyonLk VFD Ops","D","Canyon Lake VFD Ops","Fire-Tac","Comal County - Fire/EMS"
46221,b48d,"BSB VFD Ops","D","Bulverde/Spring Branch VFD Ops","Fire-Tac","Comal County - Fire/EMS"
46222,b48e,"Bracken VFD Ops","D","Bracken VFD Ops","Fire-Tac","Comal County - Fire/EMS"
46301,b4dd,"Kerr SO Disp 1","D","Sheriff Dispatch 1 Public Info","Law Dispatch","Kerr County"
46302,b4de,"Kerr SO Disp 2","DE","Sheriff Dispatch 2","Law Dispatch","Kerr County"
46303,b4df,"Kerr SO 46303","De","Sheriff Ops","Law Tac","Kerr County"
46304,b4e0,"Kerr SO 46304","DE","Sheriff Ops","Law Tac","Kerr County"
46305,b4e1,"Kerr SO 46305","DE","Sheriff Ops","Law Tac","Kerr County"
46306,b4e2,"Kerr SO 46306","DE","Sheriff Ops","Law Tac","Kerr County"
46308,b4e4,"Kerr SO 46308","DE","Sheriff Ops","Law Tac","Kerr County"
46310,b4e6,"Kerr SO Court","De","Sheriff Bailiffs","Law Tac","Kerr County"
46330,b4fa,"Kerr Co Firecom","D","Fire Dispatch","Fire Dispatch","Kerr County"
46331,b4fb,"Kerr Fire Ops 1","D","Fire Operations 1","Fire-Tac","Kerr County"
46332,b4fc,"Kerr Fire Ops 2","D","Fire Operations 2","Fire-Tac","Kerr County"
46333,b4fd,"Kerr Fire Ops 3","D","Fire Operations 3","Fire-Tac","Kerr County"
46334,b4fe,"Kerr Fire Ops 4","D","Fire Operations 4","Fire-Tac","Kerr County"
46335,b4ff,"Kerr Fire Ops 5","D","Fire Operations 5","Fire-Tac","Kerr County"
46336,b500,"Kerr Fire Ops 6","D","Fire Operations 6","Fire-Tac","Kerr County"
46337,b501,"Kerr Fire Ops 7","D","Fire Operations 7","Fire-Tac","Kerr County"
50000,c350,"TXDPS LESD 1","D","Law Enforcement Support Division 1","Law Tac","Texas DPS Statewide"
50001,c351,"TXDPS LESD 2","D","Law Enforcement Support Division 2","Law Tac","Texas DPS Statewide"
50002,c352,"TXDPS LESD 3","D","Law Enforcement Support Division 3","Law Tac","Texas DPS Statewide"
50003,c353,"TXDPS LESD 4","D","Law Enforcement Support Division 4","Law Tac","Texas DPS Statewide"
50004,c354,"TXDPS LESD 5","D","Law Enforcement Support Division 5","Law Tac","Texas DPS Statewide"
50005,c355,"DPS Cap Secu","D","Capitol Building Security","Security","Texas DPS Region 7 Capitol"
50006,c356,"TXDPS Midland","D","DPS Midland Dispatch","Law Dispatch","Texas DPS Region 4A Midland"
50007,c357,"TXDPS Pecos","D","DPS Pecos Dispatch","Law Dispatch","Texas DPS Region 4A Midland"
50009,c359,"TXDPS CID PB1","De","CID - Permian Basin Ch 1","Law Tac","Texas DPS Region 4A Midland"
50368,c4c0,"TxDOT Andrews Co","D","Andrews Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50369,c4c1,"TxDOT Martin Co","D","Martin Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50370,c4c2,"TxDOT Loving Co","D","Loving Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50371,c4c3,"TxDOT Winkler Co","D","Winkler Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50372,c4c4,"TxDOT Ector Co","D","Ector Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50373,c4c5,"TxDOT Midland Co","D","Midland Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50374,c4c6,"TxDOT Reeves Co","D","Reeves Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50375,c4c7,"TxDOT Ward Co","D","Ward Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50376,c4c8,"TxDOT Crane Co","D","Crane Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50377,c4c9,"TxDOT Upton Co","D","Upton Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50378,c4ca,"TxDOT Pecos Co","D","Pecos Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50379,c4cb,"TxDOT Terrell Co","D","Terrell Co. Ops","Public Works","Texas Dept of Transportation - Odessa District"
50380,c4cc,"TxDOT Howard Co","D","Howard Co. Ops","Public Works","Texas Dept of Transportation - Abilene District"
50381,c4cd,"TxDOT Gaines","D","Gaines","Public Works","Texas Dept of Transportation - Lubbock District"
50382,c4ce,"TxDOT Dawson","D","Dawson","Public Works","Texas Dept of Transportation - Lubbock District"
50383,c4cf,"TxDOT Borden Co","D","Borden Co. Ops","Public Works","Texas Dept of Transportation - Abilene District"
50469,c525,"DPS 3E TG 50469","D","DPS 50469","Law Tac","Texas DPS Region 3E Del Rio"
50470,c526,"DPS 3E TG 50470","D","DPS 50470","Law Tac","Texas DPS Region 3E Del Rio"
50485,c535,"DPS TG 50485","D","DPS TG 50485","Law Tac","Texas DPS Region 6B Austin"
50499,c543,"TIRIS GATRRS1","D","TIRIS GATRRS1","Interop","TIRIS"
50500,c544,"TIRIS GATRRS2","D","TIRIS GATRRS2","Interop","TIRIS"
50501,c545,"TIRIS GATRRS3","D","TIRIS GATRRS3","Interop","TIRIS"
50502,c546,"TIRIS GATRRS4","D","TIRIS GATRRS4","Interop","TIRIS"
50503,c547,"TIRIS GATRRS5","D","TIRIS GATRRS5","Interop","TIRIS"
50504,c548,"TIRIS GATRRS6","D","TIRIS GATRRS6","Interop","TIRIS"
50505,c549,"TIRIS GATRRS7","D","TIRIS GATRRS7","Interop","TIRIS"
50506,c54a,"TIRIS GATRRS8","D","TIRIS GATRRS8","Interop","TIRIS"
50507,c54b,"TIRIS GATRRS9","D","TIRIS GATRRS9","Interop","TIRIS"
50508,c54c,"TIRIS GATRRS10","D","TIRIS GATRRS10","Interop","TIRIS"
50550,c576,"TDEM Region 1","D","Region 1","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50551,c577,"TDEM Region 2","D","Region 2","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50552,c578,"TDEM Region 3","D","Region 3","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50553,c579,"TDEM Region 4","D","Region 4","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50554,c57a,"TDEM Region 5","D","Region 5","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50555,c57b,"TDEM Region 6","D","Region 6","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50556,c57c,"TDEM Region 7","D","Region 7","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50557,c57d,"TDEM Region 8","D","Region 8","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50558,c57e,"TDEM HQ","D","Headquarters","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50559,c57f,"TDEM SOC","D","Special Operations","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50560,c580,"TDEM Disaster 01","D","Disaster District 01","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50561,c581,"TDEM Disaster 02","D","Disaster District 02","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50562,c582,"TDEM Disaster 03","D","Disaster District 03","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50563,c583,"TDEM Disaster 04","D","Disaster District 04","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50564,c584,"TDEM Disaster 05","D","Disaster District 05","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50565,c585,"TDEM Disaster 06","D","Disaster District 06","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50566,c586,"TDEM Disaster 07","D","Disaster District 07","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50567,c587,"TDEM Disaster 08","D","Disaster District 08","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50568,c588,"TDEM Disaster 09","D","Disaster District 09","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50569,c589,"TDEM Disaster 10","D","Disaster District 10","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50570,c58a,"TDEM Disaster 11","D","Disaster District 11","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50571,c58b,"TDEM Disaster 12","D","Disaster District 12","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50572,c58c,"TDEM Disaster 13","D","Disaster District 13","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50573,c58d,"TDEM Disaster 14","D","Disaster District 14","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50574,c58e,"TDEM Disaster 15","D","Disaster District 15","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50575,c58f,"TDEM Disaster 16","D","Disaster District 16","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50576,c590,"TDEM Disaster 17","D","Disaster District 17","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50577,c591,"TDEM Disaster 18","D","Disaster District 18","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50578,c592,"TDEM Disaster 19","D","Disaster District 19","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50579,c593,"TDEM Disaster 20","D","Disaster District 20","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50580,c594,"TDEM Disaster 21","D","Disaster District 21","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50581,c595,"TDEM Disaster 22","D","Disaster District 22","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50582,c596,"TDEM Disaster 23","D","Disaster District 23","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50583,c597,"TDEM Disaster 24","D","Disaster District 24","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50584,c598,"TDEM Disaster 25","D","Disaster District 25","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50585,c599,"TDEM Ops Tech 1","D","Ops Tech 1","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50586,c59a,"TDEM Ops Tech 2","D","Ops Tech 2","Emergency Ops","Texas Division of Emergency Management (TDEM)"
50587,c59b,"DPS Comm Tech","D","Communications Technicians","Public Works","Texas DPS Region 7 Capitol"
50587,c59b,"TDEM Comm Tech","D","Communications Tech","Emergency Ops","Texas Division of Emergency Management (TDEM)"
