Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
6968,1b38,"Llano Co Ops 4","D","Operations 4","Multi-Tac","Llano County"
6969,1b39,"Llano Co Ops 5","D","Operations 5","Multi-Tac","Llano County"
6972,1b3c,"Llano SO Disp","D","Sheriff Dispatch","Law Dispatch","Llano County"
6973,1b3d,"Llano SO Disp 2","D","Sheriff Dispatch 2","Law Dispatch","Llano County"
6974,1b3e,"Llano SO Tac 1","D","Sheriff Tactical 1","Law Tac","Llano County"
6975,1b3f,"Llano SO Tac 2","D","Sheriff Tactical 2","Law Tac","Llano County"
7007,1b5f,"Llano FDEMS D1","D","Fire/EMS Dispatch 1","Fire Dispatch","Llano County"
7008,1b60,"Llano FDEMS D2","D","Fire/EMS Dispatch 2","Fire Dispatch","Llano County"
7009,1b61,"Llano FDEMS Tac1","D","Fire/EMS Tac 1","Fire-Tac","Llano County"
7010,1b62,"Llano FDEMS Tac2","D","Fire/EMS Tac 2","Fire-Tac","Llano County"
7018,1b6a,"HamiltonEMS Tac1","D","Hamilton EMS Tac 1","EMS-Tac","Llano County"
7019,1b6b,"HamiltonEMS Tac2","D","Hamilton EMS Tac 2","EMS-Tac","Llano County"
7022,1b6e,"BuchDam VFD Tac1","D","Buchanan Dam VFD Tac 1","Fire-Tac","Llano County"
7025,1b71,"Cast VFD TAC 1","D","Castell VFD Tac 1","Fire-Tac","Llano County"
7028,1b74,"King VFD TAC 1","D","Kingsland VFD Tac 1","Fire-Tac","Llano County"
7031,1b77,"LL VFD TAC 1","D","Llano VFD Tac 1","Fire-Tac","Llano County"
7034,1b7a,"Sandy H VFD Tac1","D","Sandy Harbor VFD Tac 1","Fire-Tac","Llano County"
7037,1b7d,"SRB VFD Tac 1","D","Sunrise Beach VFD Tac 1","Fire-Tac","Llano County"
7040,1b80,"Tow VFD Tac 1","D","Tow VFD Tac 1","Fire-Tac","Llano County"
7043,1b83,"VSPG VFD TAC 1","D","Valley Springs VFD Tac 1","Fire-Tac","Llano County"
7057,1b91,"Llano Co RB 1","D","Road and Bridge","Public Works","Llano County"
7065,1b99,"Blanco Co Ops 1","D","Operations 1","Multi-Tac","Blanco County"
7066,1b9a,"Blanco Co Ops 2","D","Operations 2","Multi-Tac","Blanco County"
7067,1b9b,"Blanco Co Ops 3","D","Operations 3","Multi-Tac","Blanco County"
7068,1b9c,"Blanco Co Ops 4","D","Operations 4","Multi-Tac","Blanco County"
7069,1b9d,"Blanco Co Ops 5","D","Operations 5","Multi-Tac","Blanco County"
7072,1ba0,"Blanco SO Disp1","D","Sheriff Dispatch 1","Law Dispatch","Blanco County"
7073,1ba1,"Blanco SO Disp 2","D","Sheriff Dispatch 2","Law Tac","Blanco County"
7074,1ba2,"Blanco SO Talk","D","Sheriff Talk","Law Talk","Blanco County"
